Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Edmonton Oilers,Connor McDavid\mcdavco01,CA,C,18,2020,Erie (OHL),351,162,307,469,43,118,,,,,,,55.6
2,Buffalo Sabres,Jack Eichel\eicheja01,US,C,18,2020,Boston University (H-East),354,137,200,337,-60,136,,,,,,,37.1
3,Arizona Coyotes,Dylan Strome\stromdy01,CA,C,18,2020,Erie (OHL),164,36,69,105,-8,44,,,,,,,9.5
4,Toronto Maple Leafs,Mitchell Marner\marnemi01,CA,C,18,2020,London (OHL),300,83,208,291,27,102,,,,,,,29.6
5,Carolina Hurricanes,Noah Hanifin\hanifno01,US,D,18,2020,Boston College (H-East),389,28,110,138,-47,93,,,,,,,21.3
6,New Jersey Devils,Pavel Zacha\zachapa01,CZ,C,18,2020,Sarnia (OHL),266,37,71,108,-34,78,,,,,,,8.0
7,Philadelphia Flyers,Ivan Provorov\provoiv01,RU,D,18,2020,Brandon (WHL),315,43,90,133,5,110,,,,,,,25.0
8,Columbus Blue Jackets,Zach Werenski\werenza01,US,D,18,2020,Michigan (Big Ten),300,58,111,169,22,58,,,,,,,32.2
9,San Jose Sharks,Timo Meier\meierti01,CH,RW,18,2020,Halifax (QMJHL),263,76,81,157,-10,158,,,,,,,16.3
10,Colorado Avalanche,Mikko Rantanen\rantami01,FI,RW,18,2020,TPS (Finland),281,99,151,250,-21,126,,,,,,,26.7
11,Florida Panthers,Lawson Crouse\crousla01,CA,LW,18,2020,Kingston (OHL),230,32,31,63,-21,155,,,,,,,4.9
12,Dallas Stars,Denis Gurianov\guriade01,RU,RW,18,2020,Togliatti 2 (Russia-Jr.),86,21,12,33,1,13,,,,,,,4.0
13,Boston Bruins,Jakub Zboril\zborija01,CZ,D,18,2019,Saint John (QMJHL),2,0,0,0,0,0,,,,,,,0.0
14,Boston Bruins,Jake Debrusk\debruja01,CA,LW,18,2020,Swift Current (WHL),203,62,58,120,14,51,,,,,,,13.9
15,Boston Bruins,Zachary Senyshyn\senysza01,CA,RW,18,2020,Sault Ste. Marie (OHL),6,1,2,3,1,0,,,,,,,0.4
16,New York Islanders,Mathew Barzal\barzama01,CA,C,18,2020,Seattle (WHL),234,59,148,207,-1,126,,,,,,,19.7
17,Winnipeg Jets,Kyle Connor\connoky01,US,LW,18,2020,Youngstown (USHL),249,105,96,201,-2,72,,,,,,,22.7
18,Ottawa Senators,Thomas Chabot\chaboth01,CA,D,18,2020,Saint John (QMJHL),205,29,90,119,-44,88,,,,,,,15.6
19,Detroit Red Wings,Evgeny Svechnikov\svechev01,RU,LW,18,2020,Cape Breton (QMJHL),20,2,2,4,-3,10,,,,,,,0.2
20,Minnesota Wild,Joel Eriksson Ek\eriksjo02,SE,C,18,2020,Farjestad (Sweden),210,24,42,66,3,68,,,,,,,4.5
21,Ottawa Senators,Colin White\whiteco02,US,C,18,2020,USA U-18 (USHL),155,23,47,70,-35,71,,,,,,,4.0
22,Washington Capitals,Ilya Samsonov\samsoil01,RU,G,18,2020,Magnitogorsk 2 (Russia-Jr.),26,0,0,0,0,2,26,16,6,2,.913,2.55,4.1
23,Vancouver Canucks,Brock Boeser\boesebr01,US,RW,18,2020,Waterloo (USHL),197,75,86,161,-3,52,,,,,,,18.3
24,Philadelphia Flyers,Travis Konecny\konectr01,CA,C,18,2020,Ottawa (OHL),299,83,102,185,10,163,,,,,,,20.0
25,Winnipeg Jets,Jack Roslovic\rosloja01,US,C,18,2020,USA U-18 (USHL),180,26,41,67,6,18,,,,,,,5.8
26,Montreal Canadiens,Noah Juulsen\juulsno01,CA,D,18,2019,Everett (WHL),44,2,6,8,6,10,,,,,,,2.2
27,Anaheim Ducks,Jacob Larsson\larssja01,SE,D,18,2020,Frolunda Jr. (Sweden-Jr.),113,2,14,16,-14,30,,,,,,,3.0
28,New York Islanders,Anthony Beauvillier\beauvan01,CA,LW,18,2020,Shawinigan (QMJHL),286,66,61,127,-7,49,,,,,,,12.4
29,Columbus Blue Jackets,Gabriel Carlsson\carlsga01,SE,D,18,2020,Linkoping Jr. (Sweden-Jr.),23,0,3,3,-4,8,,,,,,,0.3
30,Arizona Coyotes,Nicholas Merkley\merklni01,CA,RW,18,2020,Kelowna (WHL),5,1,1,2,0,4,,,,,,,0.2
31,San Jose Sharks,Jeremy Roy\royje02,CA,D,18,,Sherbrooke (QMJHL),,,,,,,,,,,,,
32,Arizona Coyotes,Christian Fischer\fischch01,US,RW,18,2020,USA U-18 (USHL),213,35,28,63,-28,57,,,,,,,5.3
33,Tampa Bay Lightning,Mitchell Stephens\stephmi01,CA,C,18,2020,Saginaw (OHL),38,3,3,6,-9,10,,,,,,,-0.2
34,Toronto Maple Leafs,Travis Dermott\dermotr01,CA,D,18,2020,Erie (OHL),157,9,32,41,25,67,,,,,,,8.1
35,Carolina Hurricanes,Sebastian Aho\ahose01,FI,RW,18,2020,Karpat (Finland),310,121,142,263,38,102,,,,,,,32.0
36,Ottawa Senators,Gabriel Gagne\gagnega01,CA,RW,18,,Victoriaville (QMJHL),,,,,,,,,,,,,
37,Boston Bruins,Brandon Carlo\carlobr01,US,D,18,2020,Tri-City (WHL),297,12,39,51,57,184,,,,,,,16.9
38,Columbus Blue Jackets,Paul Bittner\bittnpa01,US,LW,18,,Portland (WHL),,,,,,,,,,,,,
39,Colorado Avalanche,A.J. Greer\greeraj01,CA,LW,18,2019,Boston University (H-East),37,1,5,6,-2,47,,,,,,,0.2
40,Colorado Avalanche,Nicolas Meloche\melocni01,CA,D,18,,Baie Comeau (QMJHL),,,,,,,,,,,,,
41,New York Rangers,Ryan Gropp\groppry01,CA,LW,18,,Seattle (WHL),,,,,,,,,,,,,
42,New Jersey Devils,MacKenzie Blackwood\blackma01,CA,G,18,2020,Barrie (OHL),70,0,1,1,0,0,70,32,24,8,.916,2.72,13.3
43,Los Angeles Kings,Erik Cernak\cernaer01,SK,D,18,2020,Kosice (Slovakia),125,10,18,28,36,117,,,,,,,7.5
44,Tampa Bay Lightning,Matthew Spencer\spencma01,CA,D,18,,Peterborough (OHL),,,,,,,,,,,,,
45,Boston Bruins,Jakob Forsbacka Karlsson\forsbja01,SE,C,18,2019,Omaha (USHL),29,3,6,9,1,2,,,,,,,0.7
46,Pittsburgh Penguins,Daniel Sprong\spronda01,NL,RW,18,2020,Charlottetown (QMJHL),97,19,11,30,-17,10,,,,,,,2.6
47,Winnipeg Jets,Jansen Harkins\harkija01,US,C,18,2020,Prince George (WHL),29,2,5,7,-2,5,,,,,,,0.3
48,Ottawa Senators,Filip Chlapik\chlapfi01,CZ,C,18,2020,Charlottetown (QMJHL),56,5,6,11,-14,18,,,,,,,0.2
