"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","SH%","SHOTS/GP","TG","TP1","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"OHL","Connor Mcdavid","36683/connor-mcdavid","F","2015","DY","47","1.3617","0.5532","2.0000","33","31","11","64","9","17","15","26","2","2","0","0","0.00","0","0.00","0","0.00","0.00","44","94","120","2.5532","71.11","46.67","","","","","","","","","1997-01-13","18.67","18.97","","","","L","2015","EDM (2015) - #1","EDM","EDM",""
"OHL","Mitchell Marner","37534/mitchell-marner","F","2015","DY","63","0.8413","0.6349","1.5397","27","26","14","53","15","25","15","40","2","2","0","0","0.00","0","0.00","0","0.00","0.00","44","97","126","2.0000","56.99","45.16","","","","","","","","","1997-05-05","18.36","18.66","","","","R","2015","TOR (2015) - #4","TOR","TOR",""
"OHL","Dylan Strome","37099/dylan-strome","F","2015","DY","68","0.9559","0.4559","1.4118","31","34","14","65","14","17","19","31","0","0","0","0","0.00","0","0.00","0","0.00","0.00","45","96","129","1.8971","67.71","46.88","","","","","","","","","1997-03-07","18.52","18.82","","","","L","2015","ARI (2015) - #3","ARI","CHI",""
"OHL","Blake Speers","36590/blake-speers","F","2015","DY","57","0.6140","0.3158","0.9474","15","20","5","35","8","10","8","18","1","0","0","0","0.00","0","0.00","0","0.00","0.00","24","54","67","1.1754","66.04","43.40","","","","","","","","","1997-01-02","18.70","19.00","","","","R","2015","NJD (2015) - #67","NJD","ARI",""
"OHL","Travis Konecny","37124/travis-konecny","F","2015","DY","60","0.6667","0.2167","0.9333","22","18","8","40","4","9","4","13","3","0","0","0","0.00","0","0.00","0","0.00","0.00","29","56","68","1.1333","75.47","49.06","","","","","","","","","1997-03-11","18.51","18.81","","","","R","2015","PHI (2015) - #24","PHI","PHI",""
"OHL","Dante Salituro","36445/dante-salituro","F","2015","DY","68","0.5735","0.2647","0.8529","23","16","11","39","13","5","9","18","1","0","0","0","0.00","0","0.00","0","0.00","0.00","37","58","78","1.1471","68.42","63.16","","","","","","","","","1996-11-15","18.83","19.13","","","","R","2015","","","-",""
"OHL","Pavel Zacha","37315/pavel-zacha","F","2015","DY","37","0.4054","0.3514","0.7568","10","5","4","15","6","7","2","13","0","0","0","0","0.00","0","0.00","0","0.00","0.00","16","28","34","0.9189","53.57","57.14","","","","","","","","","1997-04-06","18.44","18.74","","","","L","2015","NJD (2015) - #6","NJD","NJD",""
"OHL","Lawson Crouse","37828/lawson-crouse","F","2015","DY","56","0.4643","0.1964","0.6964","20","6","7","26","7","4","5","11","2","0","0","0","0.00","0","0.00","0","0.00","0.00","29","39","51","0.9107","70.27","72.97","","","","","","","","","1997-06-23","18.23","18.52","","","","L","2015","FLA (2015) - #11","FLA","ARI",""
"OHL","Nikita Korostelev","36882/nikita-korostelev","F","2015","DY","55","0.5273","0.1455","0.6909","20","9","6","29","3","5","9","8","1","0","0","0","0.00","0","0.00","0","0.00","0.00","24","38","53","0.9636","78.38","62.16","","","","","","","","","1997-02-08","18.60","18.90","","","","R","2015","TOR (2015) - #185","TOR","-",""
"OHL","Graham Knott","36687/graham-knott","F","2015","DY","59","0.4068","0.1864","0.6102","16","8","5","24","8","3","2","11","1","0","0","0","0.00","0","0.00","0","0.00","0.00","25","36","43","0.7288","68.57","68.57","","","","","","","","","1997-01-13","18.67","18.97","","","","L","2015","CHI (2015) - #54","CHI","PIT",""
"OHL","Zach Senyshyn","37271/zach-senyshyn","F","2015","DY","66","0.5455","0.0606","0.6061","23","13","2","36","3","1","3","4","0","0","0","0","0.00","0","0.00","0","0.00","0.00","26","40","45","0.6818","90.00","65.00","","","","","","","","","1997-03-30","18.46","18.75","","","","R","2015","BOS (2015) - #15","BOS","BOS",""
"OHL","Jeremiah Addison","36364/jeremiah-addison","F","2015","DY","63","0.4286","0.1587","0.6032","16","11","9","27","3","7","0","10","0","1","0","0","0.00","0","0.00","0","0.00","0.00","19","38","47","0.7460","72.97","51.35","","","","","","","","","1996-10-21","18.90","19.19","","","","L","2015","MTL (2015) - #207","MTL","-",""
"OHL","Mitchell Stephens","36853/mitchell-stephens","F","2015","DY","62","0.4032","0.1452","0.5806","15","10","10","25","5","4","2","9","2","0","0","0","0.00","0","0.00","0","0.00","0.00","22","36","48","0.7742","73.53","58.82","","","","","","","","","1997-02-05","18.61","18.91","","","","R","2015","TBL (2015) - #33","TBL","TBL",""
"OHL","David Miller","36265/david-miller","F","2015","DY","70","0.3286","0.2429","0.5714","12","11","5","23","9","8","3","17","0","0","0","0","0.00","0","0.00","0","0.00","0.00","21","40","48","0.6857","57.50","52.50","","","","","","","","","1996-09-25","18.97","19.27","","","","R","2015","","","-",""
"OHL","Petrus Palmu","37952/petrus-palmu","F","2015","DY","62","0.2581","0.2419","0.5000","13","3","7","16","9","6","4","15","0","0","0","0","0.00","0","0.00","0","0.00","0.00","22","31","42","0.6774","51.61","70.97","","","","","","","","","1997-07-16","18.16","18.46","","","","L","2015","VAN (2017) - #181","VAN","VAN",""
