"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV S","EV S%","PP S%","PP S","TS","S%","TG","TP1","TP","TP/GP","TS/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Alexis Lafreniere","DY","45219/alexis-lafreniere","F","2020","52","1.1346","0.5000","1.6731","30","29","11","59","5","21","14","26","0","2","0","196","15.31","9.26","54","262","13.36","35","87","112","2.1538","5.04","69.41","41.18","89","42","67.94","12.77","64","52","25.06","4.0059","2001-10-11","18.93","19.22","11","RIM","6'01","L","2020","","","-","pick224.com/images/45219_alexis-lafreniere2020.png"
"OHL","Marco Rossi","DY","45181/marco-rossi","F","2020","56","1.0357","0.5000","1.5714","31","27","22","58","7","21","10","28","1","1","0","143","21.68","15.22","46","193","20.21","39","88","120","2.1429","3.45","67.44","44.19","103","35","74.64","16.55","97","70","22.54","4.1828","2001-09-23","18.98","19.27","23","OTT","5'09","L","2020","","","-","pick224.com/images/45181_marco-rossi2020.png"
"OHL","Quinton Byfield","DY","45672/quinton-byfield","F","2020","45","1.0444","0.3778","1.5111","24","23","9","47","6","11","5","17","2","2","0","89","26.97","12.77","47","148","21.62","32","68","82","1.8222","3.29","73.44","46.88","65","39","62.50","15.16","80","89","20.26","4.4760","2002-08-19","18.07","18.37","55","SBY","6'04","L","2020","","","-","pick224.com/images/45672_quinton-byfield2020.png"
"OHL","Cole Perfetti","DY","45319/cole-perfetti","F","2020","61","1.0164","0.3115","1.3934","29","33","16","62","6","13","10","19","2","2","0","186","15.59","12.77","47","244","15.16","37","85","111","1.8197","4.00","76.54","43.21","99","43","69.72","18.29","126","119","20.32","4.1142","2002-01-01","18.71","19.00","91","SAG","5'10","L","2020","","","-","pick224.com/images/45319_cole-perfetti2020.png"
"WHL","Seth Jarvis","DY","45403/seth-jarvis","F","2020","58","0.9483","0.2759","1.2759","32","23","13","55","8","8","11","16","2","1","0","0","0.00","0.00","0","219","19.18","42","74","98","1.6897","3.78","77.46","56.34","83","30","73.45","17.45","98","77","17.38","4.4036","2002-02-01","18.62","18.92","24","POR","5'09","R","2020","","","-",""
"OHL","Jack Quinn","DY","45170/jack-quinn","F","2020","62","0.7097","0.4032","1.1935","34","10","9","44","15","10","6","25","3","2","0","161","21.12","22.73","66","240","21.67","52","74","89","1.4355","3.87","63.77","71.01","77","34","69.37","7.44","135","83","20.85","3.4352","2001-09-19","18.99","19.28","22","OTT","5'11","R","2020","","","-","pick224.com/images/45170_jack-quinn2020.png"
"QMJHL","Mavrik Bourque","DY","45337/mavrik-bourque","F","2020","49","0.7959","0.3673","1.1837","25","14","6","39","4","14","7","18","0","1","0","153","16.34","8.16","49","202","14.36","29","58","71","1.4490","4.12","68.42","50.88","54","51","51.43","4.92","80","92","20.79","3.4154","2002-01-08","18.69","18.98","22","SHA","5'10","R","2020","","","-","pick224.com/images/45337_mavrik-bourque2020.png"
"WHL","Connor Zary","DY","45186/connor-zary","F","2020","57","0.6316","0.4561","1.1404","20","16","8","36","15","11","12","26","3","0","1","0","0.00","0.00","0","257","14.79","38","65","86","1.5088","4.51","58.06","56.45","67","40","62.62","4.33","95","68","17.51","3.9081","2001-09-25","18.97","19.27","18","KAM","6'00","L","2020","","","-",""
"OHL","Jacob Perreault","DY","45526/jacob-perreault","F","2020","57","0.6667","0.4386","1.1053","24","14","3","38","15","10","4","25","0","0","0","141","17.02","23.08","65","207","18.84","39","63","70","1.2281","3.63","60.32","61.90","53","82","39.26","- 6.02","115","139","19.28","3.4395","2002-04-15","18.42","18.71","44","SAR","5'11","R","2020","","","-","pick224.com/images/45526_jacob-perreault2020.png"
"QMJHL","Dawson Mercer","DY","45245/dawson-mercer","F","2020","42","0.6905","0.3095","1.0952","16","13","5","29","6","7","8","13","2","2","1","99","16.16","18.75","32","142","16.90","24","46","60","1.4286","3.38","69.05","52.38","46","41","52.87","0.41","64","58","21.46","3.0627","2001-10-27","18.88","19.18","19","DRU/CHI","6'00","R","2020","","","-","pick224.com/images/45245_dawson-mercer2020.png"
