,Name,CHL_GP,CHL_Points,CHL_PointsPG,CHL_EV_P1/GP,CHL_EV_P1/60,CHL_EV_RelGF%,CHL_Age_Dec31
0,Alexis Lafreniere,52,112,2.1538,1.1346,4.0059,12.77,19.22
1,Marco Rossi,56,120,2.1429,1.0357,4.1828,16.55,19.27
2,Quinton Byfield,45,82,1.8222,1.0444,4.476,15.16,18.37
3,Cole Perfetti,61,111,1.8197,1.0164,4.1142,18.29,19.0
4,Seth Jarvis,58,98,1.6897,0.9483,4.4036,17.45,18.92
5,Jack Quinn,62,89,1.4355,0.7097,3.4352,7.44,19.28
6,Mavrik Bourque,49,71,1.449,0.7959,3.4154,4.92,18.98
7,Connor Zary,57,86,1.5088,0.6316,3.9081,4.33,19.27
8,Jacob Perreault,57,70,1.2281,0.6667,3.4395,- 6.02,18.71
9,Dawson Mercer,42,60,1.4286,0.6905,3.0627,0.41,19.18
10,Tyson Foerster,62,80,1.2903,0.5806,2.985,- 0.43,18.95
11,Tristen Robins,62,73,1.1774,0.6613,3.0372,9.74,19.13
12,Jan Mysak,22,25,1.1364,0.5455,2.6707,- 0.96,18.52
13,Pavel Novak,55,58,1.0545,0.6,3.4349,17.37,18.71
14,Ridly Greig,56,60,1.0714,0.5179,3.2146,2.81,18.4
15,Martin Chromiak,28,33,1.1786,0.6786,2.7483,17.71,18.36
16,James Hardie,59,63,1.0678,0.6271,2.7128,7.91,18.95
17,Ozzy Wiesblatt,64,70,1.0938,0.5469,3.2384,4.32,18.81
18,Tyler Tullio,62,66,1.0645,0.6935,2.4616,3.32,18.74
19,Ryan Francis,61,72,1.1803,0.6721,2.7707,1.86,19.08
20,Kyle Crnkovic,63,64,1.0159,0.4921,3.0772,5.42,18.89
21,Connor McClennon,42,49,1.1667,0.4762,3.0161,6.42,18.52
22,Brandon Coe,60,57,0.95,0.6167,2.5105,13.22,19.08
23,Rory Kerins,64,59,0.9219,0.6563,2.6205,4.08,18.69
24,William Dufour,59,55,0.9322,0.6441,2.7664,4.23,18.93
25,Justin Sourdif,57,54,0.9474,0.6316,2.7327,19.59,18.77
26,Zayde Wisdom,62,59,0.9516,0.5484,2.2567,11.81,18.61
27,Jake Neighbours,64,70,1.0938,0.5,2.4825,1.11,18.76
28,Jaromir Pytlik,56,50,0.8929,0.375,2.2309,4.92,19.27
29,Hendrix Lapierre,19,17,0.8947,0.6316,2.4261,- 6.09,18.89
30,Evan Vierling,43,44,1.0233,0.5581,2.1959,- 2.40,18.53
31,Reid Valade,52,39,0.75,0.5962,2.5326,2.08,18.8
32,Jack Finley,61,57,0.9344,0.5902,2.6571,10.95,18.33
33,Brady Burns,64,57,0.8906,0.4688,2.4978,7.26,18.59
34,Joona Kiviniemi,15,10,0.6667,0.4,2.3079,- 10.64,19.04
35,Cross Hanas,60,49,0.8167,0.5833,2.8632,- 1.28,18.99
36,Vasili Ponomaryov,57,49,0.8596,0.4211,2.3032,- 1.14,18.8
37,Luke Evangelista,62,61,0.9839,0.5968,2.0936,- 5.86,18.86
38,Oliver Suni,43,32,0.7442,0.3953,2.3985,- 8.37,18.88
39,Patrick Guay,55,40,0.7273,0.3091,2.3644,- 14.51,18.67
40,Hayden Fowler,52,42,0.8077,0.4423,1.9856,- 4.55,19.27
41,Logan Morrison,59,45,0.7627,0.3729,2.0873,- 10.82,18.48
42,William Villeneuve,64,58,0.9063,0.4531,1.5621,6.46,18.78
43,Jeremie Poirier,64,53,0.8281,0.4063,1.4626,- 0.65,18.58
44,Charles Beaudoin,63,44,0.6984,0.5079,2.3809,5.33,18.86
45,Lukas Svejkovsky,52,38,0.7308,0.5385,2.365,13.21,19.11
46,Jamie Drysdale,49,47,0.9592,0.4082,1.5851,10.50,18.73
47,Jean-Luc Foudy,59,43,0.7288,0.4068,2.2492,- 9.03,18.63
48,Adam Raska,35,21,0.6,0.3714,2.3012,0.13,19.27
49,Declan McDonnell,63,42,0.6667,0.4762,2.3319,0.07,18.85
50,Ethan Cardwell,63,47,0.746,0.4286,2.0928,- 1.48,18.33
51,Will Cuylle,62,42,0.6774,0.4194,2.0749,- 3.53,18.91
52,Owen Pederson,61,50,0.8197,0.3607,2.0318,3.33,18.76
53,Michal Gut,51,36,0.7059,0.3922,2.5516,4.88,18.38
54,Robbie Fromm-Delorme,55,36,0.6545,0.4,2.3466,- 16.83,18.83
55,Ben King,62,46,0.7419,0.3871,1.9195,2.25,18.63
56,Carter Souch,64,39,0.6094,0.2969,2.4937,- 3.35,19.18
57,Theo Rochette,49,39,0.7959,0.3878,1.9218,- 9.22,18.86
58,Aidan Prueter,55,33,0.6,0.4364,1.7892,- 3.85,19.03
59,Senna Peeters,57,33,0.5789,0.3333,1.7926,- 12.96,18.55
60,Antonio Stranges,61,40,0.6557,0.4754,2.0263,- 10.76,18.91
61,Pier-Olivier Roy,48,34,0.7083,0.375,2.0963,6.01,18.81
62,Valentin Demchenko,57,34,0.5965,0.386,1.8344,8.60,18.75
63,Cole Cormier,64,41,0.6406,0.2969,2.0255,4.85,18.86
64,Thimo Nickl,58,39,0.6724,0.1724,1.2964,- 2.36,19.08
65,Lukas Cormier,44,36,0.8182,0.2273,1.1104,9.31,18.76
66,Jacob Dion,63,51,0.8095,0.2222,1.2032,4.55,19.17
67,Jake Uberti,57,33,0.5789,0.3333,1.8126,- 2.19,18.82
68,Vitali Pinchuk,54,34,0.6296,0.3889,1.9005,5.56,18.97
69,Josh Pillar,63,44,0.6984,0.3333,2.0439,- 1.63,18.88
70,Maxim Bykov,63,34,0.5397,0.3175,1.7537,12.61,18.5
71,Josh Lawrence,64,42,0.6563,0.375,1.6556,0.56,18.93
72,Kishaun Gervais,31,17,0.5484,0.4516,2.4542,16.43,19.16
73,Raivis Ansons,60,35,0.5833,0.2167,1.6206,- 1.41,18.92
74,Simon Knak,49,34,0.6939,0.3673,1.9516,- 1.90,18.93
75,Alec Belanger,61,32,0.5246,0.3607,1.5316,- 3.34,18.59
76,Kyrell Sopotyk,43,27,0.6279,0.3721,2.0426,7.55,19.14
77,Cole Shepard,50,29,0.58,0.32,1.931,0.07,19.0
78,Keanu Derungs,57,29,0.5088,0.2456,1.9427,- 10.45,18.68
79,Anthony Tabak,67,42,0.6269,0.3433,1.6988,0.05,19.07
80,Payton Mount,62,39,0.629,0.2419,1.8726,- 1.01,18.95
81,Riley Piercey,62,34,0.5484,0.371,1.739,- 6.49,18.78
82,Alexandre Doucet,62,37,0.5968,0.3548,1.7666,12.46,18.97
83,Braden Schneider,60,42,0.7,0.2333,1.2556,- 1.45,19.28
84,Nolan Ritchie,24,11,0.4583,0.3333,1.9268,10.32,18.59
85,Nicholas Wong,61,32,0.5246,0.2623,1.5715,- 9.66,19.29
86,Dustin Hutton,51,28,0.549,0.3529,1.8481,4.42,19.28
87,Ty Collins,59,27,0.4576,0.322,1.6642,- 8.22,18.56
88,Ryan O'Rourke,54,37,0.6852,0.2222,0.9957,8.48,18.63
89,Xavier Fortin,66,28,0.4242,0.3333,1.6881,3.19,18.9
90,Cameron Butler,66,32,0.4848,0.2121,1.3077,- 10.89,18.56
91,Miguel Tourigny,61,30,0.4918,0.2787,1.079,1.57,18.89
92,Elliot Desnoyers,61,35,0.5738,0.2951,1.4625,- 11.41,18.94
93,Zachary Roy (02),50,21,0.42,0.32,1.6081,4.60,18.98
94,Theoren Hill,53,23,0.434,0.3396,1.7708,0.94,18.74
95,Jack Thompson,63,32,0.5079,0.2222,1.0424,- 7.77,18.78
96,Simon Kubicek,52,26,0.5,0.1346,1.0632,1.27,19.03
97,Kyle McDonald,52,19,0.3654,0.3269,1.8061,- 9.90,18.91
98,Kaiden Guhle,64,40,0.625,0.2188,0.9819,- 1.12,18.95
99,Matthew Rempe,47,29,0.617,0.2553,1.4249,6.25,18.51
