,Overall,Team,Name,Nat.,Pos,Amateur Team,GP,G,A,PTS,+/-,NHL_PointsPG,CHL_GP,CHL_Points,CHL_PointsPG,CHL_EV_P1/GP,CHL_EV_P1/60,CHL_EV_RelGF%,CHL_Age_Dec31
0,71,Colorado Avalanche,Josh Anderson,CA,D,Prince George (WHL),,,,,,,64,22,0.3438,0.2813,1.5506,6.63,18.65
1,95,Columbus Blue Jackets,Josh Anderson,CA,RW,London (OHL),267.0,65.0,50.0,115.0,27.0,0.4307116104868914,64,22,0.3438,0.2813,1.5506,6.63,18.65
2,92,Toronto Maple Leafs,Adam Brooks,CA,C,Regina (WHL),7.0,0.0,3.0,3.0,1.0,0.42857142857142855,60,11,0.1833,0.1333,0.7556,- 12.67,18.65
3,113,Chicago Blackhawks,Nathan Noel,CA,C,Saint John (QMJHL),,,,,,,66,62,0.9394,0.3939,2.4202,2.14,18.53
4,115,Anaheim Ducks,Alex Dostie,CA,C,Gatineau (QMJHL),,,,,,,68,54,0.7941,0.3824,2.09,- 0.61,18.72
5,122,Toronto Maple Leafs,Vladimir Bobylev,RU,RW,Victoria (WHL),,,,,,,52,9,0.1731,0.1346,0.8147,1.21,18.7
6,144,St. Louis Blues,Conner Bleackley,CA,C,Red Deer (WHL),,,,,,,71,68,0.9577,0.5211,2.9688,5.62,18.9
7,23,Colorado Avalanche,Conner Bleackley,CA,C,Red Deer (WHL),,,,,,,71,68,0.9577,0.5211,2.9688,5.62,18.9
8,154,Vancouver Canucks,Jakob Stukel,CA,LW,Calgary (WHL),,,,,,,49,16,0.3265,0.2857,1.3703,5.72,18.82
9,171,New York Rangers,Gabriel Fontaine,CA,C,Rouyn-Noranda (QMJHL),,,,,,,55,19,0.3455,0.1636,0.8942,2.02,18.67
10,198,Nashville Predators,Adam Smith,CA,D,Bowling Green (WCHA),,,,,,,20,0,0.0,0.0,0.0,- 50.59,18.46
11,205,Anaheim Ducks,Tyler Soy,CA,C,Victoria (WHL),,,,,,,69,63,0.913,0.5217,3.0318,13.13,18.89
12,1,Edmonton Oilers,Connor Mcdavid,CA,C,Erie (OHL),351.0,162.0,307.0,469.0,43.0,1.3361823361823362,47,120,2.5532,1.3617,6.0759,17.24,18.97
13,3,Arizona Coyotes,Dylan Strome,CA,C,Erie (OHL),164.0,36.0,69.0,105.0,-8.0,0.6402439024390244,68,129,1.8971,0.9559,4.6623,11.17,18.82
14,4,Toronto Maple Leafs,Mitchell Marner,CA,C,London (OHL),300.0,83.0,208.0,291.0,27.0,0.97,63,126,2.0,0.8413,4.7108,21.94,18.66
15,6,New Jersey Devils,Pavel Zacha,CZ,C,Sarnia (OHL),266.0,37.0,71.0,108.0,-34.0,0.40601503759398494,37,34,0.9189,0.4054,2.9443,7.44,18.74
16,9,San Jose Sharks,Timo Meier,CH,RW,Halifax (QMJHL),263.0,76.0,81.0,157.0,-10.0,0.596958174904943,61,90,1.4754,0.5738,2.9954,19.14,19.23
17,11,Florida Panthers,Lawson Crouse,CA,LW,Kingston (OHL),230.0,32.0,31.0,63.0,-21.0,0.27391304347826084,56,51,0.9107,0.4643,2.0682,5.56,18.52
18,14,Boston Bruins,Jake Debrusk,CA,LW,Swift Current (WHL),203.0,62.0,58.0,120.0,14.0,0.5911330049261084,72,81,1.125,0.6111,2.915,5.99,19.21
19,16,New York Islanders,Mathew Barzal,CA,C,Seattle (WHL),234.0,59.0,148.0,207.0,-1.0,0.8846153846153846,44,57,1.2955,0.5909,2.8042,10.00,18.6
20,24,Philadelphia Flyers,Travis Konecny,CA,C,Ottawa (OHL),299.0,83.0,102.0,185.0,10.0,0.6187290969899666,60,68,1.1333,0.6667,2.9043,5.16,18.81
21,28,New York Islanders,Anthony Beauvillier,CA,LW,Shawinigan (QMJHL),286.0,66.0,61.0,127.0,-7.0,0.44405594405594406,67,94,1.403,0.5672,3.3439,2.46,18.56
22,33,Tampa Bay Lightning,Mitchell Stephens,CA,C,Saginaw (OHL),38.0,3.0,3.0,6.0,-9.0,0.15789473684210525,62,48,0.7742,0.4032,2.1992,0.47,18.91
23,36,Ottawa Senators,Gabriel Gagne,CA,RW,Victoriaville (QMJHL),,,,,,,67,59,0.8806,0.5224,2.1118,7.32,19.14
24,38,Columbus Blue Jackets,Paul Bittner,US,LW,Portland (WHL),,,,,,,66,71,1.0758,0.6364,3.1172,13.24,19.16
25,41,New York Rangers,Ryan Gropp,CA,LW,Seattle (WHL),,,,,,,67,58,0.8657,0.5373,2.4632,1.90,19.29
26,46,Pittsburgh Penguins,Daniel Sprong,NL,RW,Charlottetown (QMJHL),97.0,19.0,11.0,30.0,-17.0,0.30927835051546393,68,88,1.2941,0.6176,3.2479,- 4.88,18.79
27,47,Winnipeg Jets,Jansen Harkins,US,C,Prince George (WHL),29.0,2.0,5.0,7.0,-2.0,0.2413793103448276,70,79,1.1286,0.5857,2.9271,14.18,18.61
28,48,Ottawa Senators,Filip Chlapik,CZ,C,Charlottetown (QMJHL),56.0,5.0,6.0,11.0,-14.0,0.19642857142857142,64,75,1.1719,0.5313,2.5132,- 2.54,18.58
29,54,Chicago Blackhawks,Graham Knott,CA,LW,Niagara (OHL),,,,,,,59,43,0.7288,0.4068,2.3173,- 3.39,18.97
30,55,Nashville Predators,Yakov Trenin,RU,C,Gatineau (QMJHL),21.0,2.0,4.0,6.0,1.0,0.2857142857142857,58,67,1.1552,0.4828,1.8538,9.62,18.97
31,64,Tampa Bay Lightning,Dennis Yan,US,LW,Shawinigan (QMJHL),,,,,,,59,64,1.0847,0.5932,2.8584,16.37,18.71
32,67,New Jersey Devils,Blake Speers,CA,C,Sault Ste. Marie (OHL),3.0,0.0,0.0,0.0,0.0,0.0,57,67,1.1754,0.614,3.7197,- 1.89,19.0
33,69,Columbus Blue Jackets,Keegan Kolesar,CA,RW,Seattle (WHL),1.0,0.0,0.0,0.0,0.0,0.0,64,38,0.5938,0.2813,2.0473,- 8.53,18.73
34,71,Colorado Avalanche,Jean-Christophe Beaudin,CA,C,Rouyn-Noranda (QMJHL),22.0,0.0,1.0,1.0,-4.0,0.045454545454545456,68,53,0.7794,0.4265,2.0967,14.46,18.76
