Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,PS
1,Toronto Maple Leafs,Auston Matthews\matthau01,US,C,18,2020,Zurich (Swiss),282,158,127,285,37,46,,,,,,,37.9
2,Winnipeg Jets,Patrik Laine\lainepa01,FI,RW,18,2020,Tappara (Finland),305,138,109,247,-1,114,,,,,,,30.3
3,Columbus Blue Jackets,Pierre-Luc Dubois\duboipi01,CA,LW,18,2020,Cape Breton (QMJHL),234,65,93,158,22,162,,,,,,,17.2
4,Edmonton Oilers,Jesse Puljujarvi\puljuje01,SE,RW,18,2019,Karpat (Finland),139,17,20,37,-10,40,,,,,,,2.3
5,Vancouver Canucks,Olli Juolevi\juoleol01,FI,D,18,,London (OHL),,,,,,,,,,,,,
6,Calgary Flames,Matthew Tkachuk\tkachma01,US,LW,18,2020,London (OHL),293,94,141,235,22,302,,,,,,,26.4
7,Arizona Coyotes,Clayton Keller\kellecl01,US,C,18,2020,USA U-18 (USHL),237,54,104,158,-37,76,,,,,,,14.7
8,Buffalo Sabres,Alexander Nylander\nylanal01,CA,LW,18,2020,Mississauga (OHL),84,13,19,32,-11,14,,,,,,,2.4
9,Montreal Canadiens,Mikhail Sergachev\sergami01,RU,D,18,2020,Windsor (OHL),228,25,81,106,39,124,,,,,,,17.6
10,Colorado Avalanche,Tyson Jost\jostty01,CA,C,18,2020,Penticton (BCHL),208,32,40,72,-6,62,,,,,,,5.6
11,Ottawa Senators,Logan Brown\brownlo01,US,C,18,2020,Windsor (OHL),29,1,8,9,-2,4,,,,,,,0.4
12,New Jersey Devils,Michael McLeod\mcleomi01,CA,C,18,2020,Mississauga (OHL),33,0,5,5,-4,17,,,,,,,-0.2
13,Carolina Hurricanes,Jake Bean\beanja01,CA,D,18,2019,Calgary (WHL),2,0,0,0,0,2,,,,,,,0.0
14,Boston Bruins,Charles McAvoy\mcavoch01,US,D,18,2020,Boston University (H-East),184,19,73,92,58,139,,,,,,,19.4
15,Minnesota Wild,Luke Kunin\kuninlu01,US,C,18,2020,Wisconsin (Big Ten),131,23,29,52,-22,95,,,,,,,3.5
16,Arizona Coyotes,Jakob Chychrun\chychja01,US,D,18,2020,Sarnia (OHL),234,28,52,80,-20,129,,,,,,,15.7
17,Nashville Predators,Dante Fabbro\fabbrda01,CA,D,18,2020,Penticton (BCHL),68,6,6,12,-8,38,,,,,,,1.9
18,Winnipeg Jets,Logan Stanley\stanllo01,CA,D,18,,Windsor (OHL),,,,,,,,,,,,,
19,New York Islanders,Kieffer Bellows\belloki01,US,LW,18,2020,USA U-18 (USHL),8,2,1,3,3,2,,,,,,,0.5
20,Detroit Red Wings,Dennis Cholowski\cholode01,CA,D,18,2020,Chilliwack (BCHL),88,9,15,24,-46,22,,,,,,,1.8
21,Carolina Hurricanes,Julien Gauthier\gauthju01,CA,RW,18,2020,Val d'Or (QMJHL),17,0,3,3,1,8,,,,,,,0.1
22,Philadelphia Flyers,German Rubtsov\rubtsge01,RU,C,18,2020,Team Russia U18 (Russia-Jr.),4,0,0,0,-1,0,,,,,,,-0.1
23,Florida Panthers,Henrik Borgström\borgshe01,FI,C,19,2020,HIFK Jr. (Finland-Jr.),58,9,10,19,-17,6,,,,,,,1.0
24,Anaheim Ducks,Max Jones\jonesma03,US,LW,18,2020,London (OHL),89,10,7,17,-7,50,,,,,,,0.6
25,Dallas Stars,Riley Tufte\tufteri01,US,LW,18,,Blaine (High-MN),,,,,,,,,,,,,
26,St. Louis Blues,Tage Thompson\thompta01,US,C,18,2020,Connecticut (H-East),107,10,11,21,-34,32,,,,,,,-0.1
27,Tampa Bay Lightning,Brett Howden\howdebr01,CA,C,18,2020,Moose Jaw (WHL),136,15,27,42,-27,42,,,,,,,1.4
28,Washington Capitals,Lucas Johansen\johanlu01,CA,D,18,,Kelowna (WHL),,,,,,,,,,,,,
29,Boston Bruins,Trent Frederic\fredetr01,US,C,18,2020,USA U-18 (USHL),17,0,0,0,-5,15,,,,,,,-0.4
30,Anaheim Ducks,Sam Steel\steelsa01,CA,C,18,2020,Regina (WHL),87,12,21,33,-11,28,,,,,,,2.1
31,Toronto Maple Leafs,Yegor Korshkov\korshye01,RU,RW,20,,Yaroslavl (Russia),,,,,,,,,,,,,
32,Edmonton Oilers,Tyler Benson\bensoty01,CA,LW,18,2020,Vancouver (WHL),7,0,1,1,-1,0,,,,,,,0.0
33,Buffalo Sabres,Rasmus Asplund\asplura01,SE,C,18,2020,Farjestad (Sweden),29,1,2,3,-4,6,,,,,,,-0.3
34,Columbus Blue Jackets,Andrew Peeke\peekean01,US,D,18,2020,Green Bay (USHL),22,1,2,3,1,4,,,,,,,0.9
35,St. Louis Blues,Jordan Kyrou\kyroujo01,CA,C,18,2020,Sarnia (OHL),44,5,7,12,0,12,,,,,,,1.0
36,Philadelphia Flyers,Pascal Laberge\laberpa01,CA,C,18,,Victoriaville (QMJHL),,,,,,,,,,,,,
37,Tampa Bay Lightning,Libor Hajek\hajekli01,CZ,D,18,2020,Saskatoon (WHL),33,1,5,6,-3,18,,,,,,,0.8
38,Florida Panthers,Adam Mascherin\maschad01,CA,LW,18,,Kitchener (OHL),,,,,,,,,,,,,
39,Chicago Blackhawks,Alexander Debrincat\debrial01,US,RW,18,2020,Erie (OHL),234,87,86,173,-4,36,,,,,,,19.2
40,Colorado Avalanche,Cameron Morrison\morrica01,CA,LW,18,,Youngstown (USHL),,,,,,,,,,,,,
41,New Jersey Devils,Nathan Bastian\bastina01,CA,RW,18,2019,Mississauga (OHL),7,3,0,3,0,10,,,,,,,0.5
42,Ottawa Senators,Jonathan Dahlen\dahlejo01,SE,C,18,,Timra (Sweden-2),,,,,,,,,,,,,
43,Carolina Hurricanes,Janne Kuokkanen\kuokkja01,FI,C/LW,18,2020,Karpat Jr. (Finland-Jr.),12,0,0,0,-5,4,,,,,,,-0.4
44,Tampa Bay Lightning,Boris Katchouk\katchbo01,CA,LW,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,,
45,Chicago Blackhawks,Chad Krys\krysch01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,,
46,Detroit Red Wings,Givani Smith\smithgi01,CA,RW,18,2020,Guelph (OHL),21,2,1,3,-2,9,,,,,,,0.2
47,Nashville Predators,Samuel Girard\girarsa01,CA,D,18,2020,Shawinigan (QMJHL),225,12,72,84,-2,31,,,,,,,12.5
48,Philadelphia Flyers,Carter Hart\hartca01,CA,G,18,2020,Everett (WHL),74,0,0,0,0,0,74,40,26,4,.915,2.59,12.9
49,Boston Bruins,Ryan Lindgren\lindgry01,US,D,18,2020,USA U-18 (USHL),65,1,13,14,10,55,,,,,,,2.8
50,Chicago Blackhawks,Artur Kayumov\kayumar01,RU,W,18,,Team Russia U18 (Russia-Jr.),,,,,,,,,,,,,
51,Los Angeles Kings,Kale Clague\claguka01,CA,D,18,2020,Brandon (WHL),4,0,0,0,-3,2,,,,,,,-0.1
52,Philadelphia Flyers,Wade Allison\alliswa01,CA,RW,18,,Tri-City (USHL),,,,,,,,,,,,,
53,Detroit Red Wings,Filip Hronek\hronefi01,CZ,D,18,2020,HR. Kralove (Czech),111,14,40,54,-48,76,,,,,,,6.5
54,Calgary Flames,Tyler Parsons\parsoty01,US,G,18,,London (OHL),,,,,,,,,,,,,
55,Pittsburgh Penguins,Filip Gustavsson\gustafi01,SE,G,18,,Lulea Jr. (Sweden-Jr.),,,,,,,,,,,,,
56,Calgary Flames,Dillon Dube\dubedi01,CA,C,18,2020,Kelowna (WHL),70,7,14,21,2,10,,,,,,,1.6
57,Toronto Maple Leafs,Carl Grundstrom\grundca01,SE,RW,18,2020,Modo (Sweden),28,5,5,10,-2,14,,,,,,,0.9
58,Tampa Bay Lightning,Taylor Raddysh\raddyta01,CA,RW,18,,Erie (OHL),,,,,,,,,,,,,
59,St. Louis Blues,Evan Fitzpatrick\fitzpev01,CA,G,18,,Sherbrooke (QMJHL),,,,,,,,,,,,,
60,San Jose Sharks,Dylan Gambrell\gambrdy01,US,C,20,2020,Denver (NCHC),61,5,6,11,-8,19,,,,,,,0.3
61,Pittsburgh Penguins,Kasper Bjorkqvist\bjorkka01,FI,RW,19,,Blues Jr. (Finland-Jr.),,,,,,,,,,,,,
62,Toronto Maple Leafs,Joseph Woll\wolljo01,US,G,18,,USA U-18 (USHL),,,,,,,,,,,,,
63,Edmonton Oilers,Markus Niemelainen\niemema01,FI,D,18,,Saginaw (OHL),,,,,,,,,,,,,
64,Vancouver Canucks,William Lockwood\lockwwi01,US,RW,18,,USA U-18 (USHL),,,,,,,,,,,,,
65,Columbus Blue Jackets,Vitaly Abramov\abramvi01,RU,RW,18,2020,Gatineau (QMJHL),3,1,0,1,-3,2,,,,,,,0.0
66,Calgary Flames,Adam Fox\foxad01,US,D,18,2020,USA U-18 (USHL),70,8,34,42,22,32,,,,,,,7.4
67,Carolina Hurricanes,Matt Filipe\filipma01,US,LW,18,,Cedar Rapids (USHL),,,,,,,,,,,,,
68,Arizona Coyotes,Cam Dineen\dineeca01,US,D,18,,North Bay (OHL),,,,,,,,,,,,,
69,Buffalo Sabres,Cliff Pu\pucl01,CA,RW,18,,London (OHL),,,,,,,,,,,,,
70,Montreal Canadiens,William Bitten\bittewi01,CA,C,18,,Flint (OHL),,,,,,,,,,,,,
71,Colorado Avalanche,Josh Anderson\anderjo06,CA,D,18,,Prince George (WHL),,,,,,,,,,,,,
72,Toronto Maple Leafs,James Greenway\greenja01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,,
73,New Jersey Devils,Joseph Anderson\anderjo08,US,RW,18,2020,USA U-18 (USHL),52,8,5,13,-6,8,,,,,,,0.9
74,Carolina Hurricanes,Hudson Elynuik\elynuhu01,CA,C,18,,Spokane (WHL),,,,,,,,,,,,,
75,Carolina Hurricanes,Jack LaFontaine\lafonja01,CA,G,18,,Janesville (NAHL),,,,,,,,,,,,,
76,Nashville Predators,Rem Pitlick\pitlire01,CA,C,19,2019,Muskegon (USHL),1,0,0,0,0,2,,,,,,,0.0
77,Pittsburgh Penguins,Connor Hall\hallco01,CA,D,18,,Kitchener (OHL),,,,,,,,,,,,,
78,Nashville Predators,Frederic Allard\allarfr01,CA,D,18,,Chicoutimi (QMJHL),,,,,,,,,,,,,
79,Winnipeg Jets,Luke Green\greenlu01,CA,D,18,,Saint John (QMJHL),,,,,,,,,,,,,
80,New Jersey Devils,Brandon Gignac\gignabr01,CA,C,18,2019,Shawinigan (QMJHL),1,0,0,0,-2,0,,,,,,,-0.1
81,New York Rangers,Sean Day\dayse01,BE,D,18,,Mississauga (OHL),,,,,,,,,,,,,
82,Philadelphia Flyers,Carsen Twarynski\twaryca01,CA,LW,18,2020,Calgary (WHL),15,1,0,1,-2,4,,,,,,,-0.2
83,Chicago Blackhawks,Wouter Peeters\peetewo01,BE,G,18,,Ec Salzburg 2 (Austria-Jr.),,,,,,,,,,,,,
84,Edmonton Oilers,Matthew Cairns\cairnma01,CA,D,18,,Georgetown (OJHL),,,,,,,,,,,,,
85,Anaheim Ducks,Joshua Mahura\mahurjo01,CA,D,18,2020,Red Deer (WHL),28,2,7,9,-3,6,,,,,,,1.4
86,Buffalo Sabres,Casey Fitzgerald\fitzgca01,US,D,19,,Boston College (H-East),,,,,,,,,,,,,
87,Washington Capitals,Garrett Pilon\pilonga01,CA,C,18,,Kamloops (WHL),,,,,,,,,,,,,
88,Tampa Bay Lightning,Connor Ingram\ingraco01,CA,G,19,,Kamloops (WHL),,,,,,,,,,,,,
89,Florida Panthers,Linus Nassen\nasseli01,SE,D,18,,Lulea Jr. (Sweden-Jr.),,,,,,,,,,,,,
90,Dallas Stars,Fredrik Karlstrom\karlsfr01,SE,C,18,,AIK Jr. (Sweden-Jr.),,,,,,,,,,,,,
91,Edmonton Oilers,Filip Berglund\berglfi01,SE,D,19,,Skelleftea Jr. (Sweden-Jr.),,,,,,,,,,,,,
92,Toronto Maple Leafs,Adam Brooks\brookad01,CA,C,20,2020,Regina (WHL),7,0,3,3,1,0,,,,,,,0.2
93,Anaheim Ducks,Jack Kopacka\kopacja01,US,LW,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,,
94,Florida Panthers,Jonathan Ang\angjo01,CA,C,18,,Peterborough (OHL),,,,,,,,,,,,,
