"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SH%","PP SH%","SH%","TG","TP1","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"OHL","Connor Mcdavid","36683/connor-mcdavid","F","2015","DY","47","1.3617","0.5532","2.0000","33","31","11","64","9","17","15","26","2","2","0","0.00","0.00","0.00","44","94","120","2.5532","71.11","46.67","87","29","75.00","17.24","93","68","19.75","6.0759","1997-01-13","18.67","18.97","97","ER","-","L","2015","EDM (2015) - #1","EDM","EDM",""
"OHL","Mitchell Marner","37534/mitchell-marner","F","2015","DY","63","0.8413","0.6349","1.5397","27","26","14","53","15","25","15","40","2","2","0","0.00","0.00","0.00","44","97","126","2.0000","56.99","45.16","74","32","69.81","21.94","101","110","19.61","4.7108","1997-05-05","18.36","18.66","93","LDN","-","R","2015","TOR (2015) - #4","TOR","TOR",""
"OHL","John Tavares","24023/john-tavares","F","2009","DY","56","0.7679","0.6250","1.5179","31","12","3","43","21","14","16","35","6","1","0","0.00","0.00","0.00","58","85","104","1.8571","55.13","66.67","58","52","52.73","4.93","65","71","20.75","4.3900","1990-09-20","18.99","19.28","61","","-","L","2009","NYI (2009) - #1","NYI","TOR",""
"OHL","Taylor Hall","26143/taylor-hall","F","2010","DY","57","0.7895","0.5789","1.4386","22","23","10","45","14","19","13","33","4","0","1","0.00","0.00","0.00","40","82","106","1.8596","57.69","46.15","78","35","69.03","9.64","117","80","17.23","5.0101","1991-11-14","18.84","19.13","4","","-","L","2010","EDM (2010) - #1","EDM","ARI",""
"OHL","Dylan Strome","37099/dylan-strome","F","2015","DY","68","0.9559","0.4559","1.4118","31","34","14","65","14","17","19","31","0","0","0","0.00","0.00","0.00","45","96","129","1.8971","67.71","46.88","97","45","68.31","11.17","140","105","18.17","4.6623","1997-03-07","18.52","18.82","19","ER","-","L","2015","ARI (2015) - #3","ARI","CHI",""
"OHL","Tyler Seguin","26526/tyler-seguin","F","2010","DY","63","0.8730","0.5238","1.3968","35","20","8","55","13","20","10","33","0","0","0","0.00","0.00","0.00","48","88","106","1.6825","62.50","54.55","79","58","57.66","8.74","68","71","20.92","4.0053","1992-01-31","18.63","18.92","9","","-","R","2010","BOS (2010) - #2","BOS","DAL",""
"OHL","Nail Yakupov","30078/nail-yakupov","F","2012","DY","42","0.7381","0.5238","1.2857","18","13","9","31","12","10","6","22","1","0","0","0.00","0.00","0.00","31","54","69","1.6429","58.49","56.60","54","35","60.67","16.01","46","57","21.78","3.5415","1993-10-06","18.94","19.24","10","","-","L","2012","EDM (2012) - #1","EDM","-",""
"OHL","Robby Fabbri","34703/robby-fabbri","F","2014","DY","58","0.8793","0.3793","1.2586","31","20","8","51","14","8","6","22","0","0","0","0.00","0.00","0.00","45","73","87","1.5000","69.86","61.64","84","34","71.19","6.32","120","65","18.52","4.0767","1996-01-22","18.65","18.94","9","GUE","-","L","2014","STL (2014) - #21","STL","DET",""
"OHL","Sam Bennett","35797/sam-bennett","F","2014","DY","57","0.7895","0.4035","1.2456","25","20","14","45","10","13","6","23","1","2","0","0.00","0.00","0.00","36","71","91","1.5965","66.18","51.47","79","45","63.71","10.86","102","91","19.06","3.9212","1996-06-20","18.24","18.53","93","KGN","-","L","2014","CGY (2014) - #4","CGY","CGY",""
"OHL","Jeff Skinner","27317/jeff-skinner","F","2010","DY","64","0.5781","0.6094","1.2188","28","9","7","37","21","18","5","39","1","1","0","0.00","0.00","0.00","50","78","90","1.4063","48.68","64.47","68","56","54.84","6.73","89","96","19.20","3.8081","1992-05-16","18.33","18.63","53","","-","L","2010","CAR (2010) - #7","CAR","BUF",""
"OHL","Nikolay Goldobin","34220/nikolay-goldobin","F","2014","DY","67","0.8657","0.3134","1.1791","28","30","7","58","10","11","8","21","0","0","0","0.00","0.00","0.00","38","79","94","1.4030","73.42","48.10","89","107","45.41","16.69","56","139","21.14","3.3465","1995-10-07","18.94","19.23","27","SAR","-","L","2014","SJS (2014) - #27","SJS","VAN",""
"OHL","Michael Dal Colle","35794/michael-dal-colle","F","2014","DY","67","0.6716","0.4925","1.1642","23","22","7","45","16","17","10","33","0","0","0","0.00","0.00","0.00","39","78","95","1.4179","57.69","50.00","64","50","56.14","5.79","71","70","20.78","3.3622","1996-06-20","18.24","18.53","71","OSH","-","L","2014","NYI (2014) - #5","NYI","NYI",""
"OHL","Matt Duchene","24459/matt-duchene","F","2009","DY","57","0.5965","0.4561","1.1579","15","19","6","34","12","14","7","26","4","2","0","0.00","0.00","0.00","31","66","79","1.3860","56.67","45.00","57","25","69.51","15.85","88","76","19.32","3.5951","1991-01-16","18.66","18.96","9","","-","L","2009","COL (2009) - #3","COL","NSH",""
"OHL","Ryan Strome","29694/ryan-strome","F","2011","DY","65","0.7692","0.3077","1.1077","22","28","14","50","9","11","20","20","2","0","0","0.00","0.00","0.00","33","72","106","1.6308","71.43","44.29","73","42","63.48","1.60","112","69","18.94","3.5083","1993-07-11","18.18","18.47","18","","-","R","2011","NYI (2011) - #5","NYI","NYR",""
"OHL","Sean Monahan","32137/sean-monahan","F","2013","DY","58","0.5517","0.5172","1.0862","15","17","7","32","15","15","8","30","1","0","0","0.00","0.00","0.00","31","63","78","1.3448","51.61","48.39","51","59","46.36","12.02","68","130","20.33","3.2060","1994-10-12","18.93","19.22","20","OTT","-","L","2013","CGY (2013) - #6","CGY","CGY",""
"OHL","Shane Prince","28210/shane-prince","F","2011","DY","59","0.8136","0.2203","1.0678","21","27","15","48","3","10","10","13","1","1","0","0.00","0.00","0.00","25","63","88","1.4915","78.69","39.34","89","47","65.44","11.74","87","75","20.15","3.1788","1992-11-16","18.83","19.13","18","","-","L","2011","OTT (2011) - #61","OTT","-",""
"OHL","Nick Ritchie","34431/nick-ritchie","F","2014","DY","61","0.7541","0.2787","1.0656","27","19","7","46","11","6","2","17","1","1","0","0.00","0.00","0.00","39","65","74","1.2131","73.02","60.32","68","62","52.31","2.88","86","88","18.01","3.5505","1995-12-05","18.78","19.07","20","PBO","-","L","2014","ANA (2014) - #10","ANA","BOS",""
"OHL","Max Domi","32917/max-domi","F","2013","DY","64","0.6250","0.4219","1.0625","24","16","11","40","14","13","8","27","1","0","0","0.00","0.00","0.00","39","68","87","1.3594","59.70","56.72","61","26","70.11","13.70","110","85","17.23","3.6996","1995-03-02","18.54","18.83","16","LDN","-","L","2013","ARI (2013) - #12","ARI","MTL",""
"OHL","Nazem Kadri","24084/nazem-kadri","F","2009","DY","56","0.5357","0.3571","1.0536","10","20","6","30","10","10","12","20","5","4","1","0.00","0.00","0.00","25","59","78","1.3929","60.00","40.00","45","37","54.88","- 5.36","100","66","16.48","3.8365","1990-10-06","18.94","19.24","91","","-","L","2009","TOR (2009) - #7","TOR","COL",""
