"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SH%","PP SH%","SH%","TG","TP1","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Jonathan Drouin","33109/jonathan-drouin","F","2013","DY","49","0.9388","0.4694","1.5510","30","16","11","46","7","16","17","23","4","3","1","21.90","36.84","23.70","41","76","105","2.1429","66.67","53.62","74","29","71.84","7.51","101","56","21.04","4.4226","1995-03-28","18.46","18.76","27","HAL","-","L","2013","TBL (2013) - #3","TBL","MTL","http://pick224.com/images/Q-2013/33109_jonathan-drouin2013.png"
"QMJHL","Nathan Mackinnon","34060/nathan-mackinnon","F","2013","DY","44","0.9091","0.4545","1.4545","20","20","7","40","10","10","4","20","2","2","0","11.90","43.48","15.92","32","64","75","1.7045","66.67","50.00","63","24","72.41","8.84","89","51","21.78","4.0068","1995-09-01","18.04","18.33","22","HAL","-","R","2013","COL (2013) - #1","COL","COL","http://pick224.com/images/Q-2013/34060_nathan-mackinnon2013.png"
"QMJHL","Sean Couturier","28274/sean-couturier","F","2011","DY","58","0.7241","0.4310","1.2586","23","19","13","42","9","16","8","25","4","2","2","0.00","0.00","16.14","36","73","96","1.6552","62.69","47.76","72","26","73.47","29.24","69","87","22.07","3.4213","1992-12-07","18.77","19.07","7","","-","L","2011","PHI (2011) - #8","PHI","PHI",""
"QMJHL","Nikolaj Ehlers","34900/nikolaj-ehlers","F","2014","DY","63","0.7460","0.3810","1.2540","29","18","12","47","14","10","11","24","6","2","2","13.06","31.11","17.07","49","79","104","1.6508","66.20","60.56","83","26","76.15","16.38","101","68","21.35","3.5233","1996-02-14","18.59","18.88","24","HAL","-","L","2014","WPG (2014) - #9","WPG","WPG","http://pick224.com/images/Q-2014/34900_nikolaj-ehlers2014.png"
"QMJHL","Anthony Beauvillier","37753/anthony-beauvillier","F","2015","DY","67","0.5672","0.4925","1.1940","22","16","5","38","15","18","7","33","5","4","2","9.91","15.79","12.46","42","80","94","1.4030","53.52","52.11","56","41","57.73","2.46","110","89","21.42","3.3439","1997-06-08","18.27","18.56","91","SHA","-","L","2015","NYI (2015) - #28","NYI","NYI","http://pick224.com/images/Q-2015/37753_anthony-beauvillier2015.png"
"QMJHL","Vladimir Tkachyov","34214/vladimir-tkachyov","F","2014","DY","20","0.7000","0.3500","1.1500","9","5","2","14","0","7","5","7","1","1","0","19.57","0.00","18.52","10","23","30","1.5000","66.67","42.86","21","20","51.22","13.51","23","38","20.96","3.2921","1995-10-05","18.94","19.24","21","MON","-","R","2014","","","-","http://pick224.com/images/Q-2014/34214_vladimir-tkachyov2014.png"
"QMJHL","Jonathan Huberdeau","29500/jonathan-huberdeau","F","2011","DY","67","0.7612","0.3284","1.1493","27","24","19","51","13","9","8","22","3","1","1","0.00","0.00","21.29","43","77","105","1.5672","69.86","54.79","95","43","68.84","3.32","133","70","19.95","3.4558","1993-06-04","18.28","18.58","11","","-","L","2011","FLA (2011) - #3","FLA","FLA",""
"QMJHL","Ivan Barbashyov","34448/ivan-barbashyov","F","2014","DY","48","0.5625","0.4167","1.1250","15","12","9","27","8","12","4","20","2","5","1","13.51","23.53","16.03","25","54","68","1.4167","57.45","48.94","47","54","46.53","3.20","52","68","21.95","3.0748","1995-12-14","18.75","19.05","22","MON","-","L","2014","STL (2014) - #33","STL","STL","http://pick224.com/images/Q-2014/34448_ivan-barbashyov2014.png"
"QMJHL","Anthony Richard","36554/anthony-richard","F","2015","DY","66","0.5606","0.3788","1.1212","27","10","5","37","11","14","11","25","5","7","1","11.64","26.19","14.83","43","74","91","1.3788","59.68","61.29","57","68","45.60","- 9.81","128","103","21.46","3.1348","1996-12-20","18.74","19.03","9","VDO","-","L","2015","NSH (2015) - #100","NSH","NSH","http://pick224.com/images/Q-2015/36554_anthony-richard2015.png"
"QMJHL","Daniel Sprong","37165/daniel-sprong","F","2015","DY","68","0.6176","0.4265","1.1176","23","19","5","42","13","16","7","29","3","2","0","11.92","21.67","14.44","39","76","88","1.2941","59.15","50.70","55","72","43.31","- 4.88","93","100","20.65","3.2479","1997-03-17","18.49","18.79","11","CHA","-","R","2015","PIT (2015) - #46","PIT","WSH","http://pick224.com/images/Q-2015/37165_daniel-sprong2015.png"
"QMJHL","Timo Meier","36320/timo-meier","F","2015","DY","61","0.5738","0.4262","1.1148","21","14","20","35","20","6","1","26","3","4","1","8.75","33.33","13.92","44","68","90","1.4754","57.38","67.21","71","48","59.66","19.14","62","91","22.33","2.9954","1996-10-08","18.94","19.23","96","HAL","-","L","2015","SJS (2015) - #9","SJS","SJS","http://pick224.com/images/Q-2015/36320_timo-meier2015.png"
"QMJHL","Mikhail Grigorenko","31373/mikhail-grigorenko","F","2012","DY","59","0.8305","0.2542","1.0847","32","17","12","49","8","7","9","15","0","0","0","0.00","0.00","20.41","40","64","85","1.4407","76.56","62.50","85","45","65.38","8.16","95","71","20.95","3.1069","1994-05-16","18.33","18.63","25","","-","L","2012","BUF (2012) - #12","BUF","-",""
"QMJHL","Zack Phillips","28137/zack-phillips","F","2011","DY","67","0.7015","0.3433","1.0597","22","25","16","47","15","8","8","23","1","0","0","0.00","0.00","16.52","38","71","95","1.4179","67.14","52.86","83","35","70.34","5.47","144","78","18.94","3.3570","1992-10-28","18.88","19.18","7","","-","R","2011","MIN (2011) - #28","MIN","-",""
"QMJHL","Anthony Mantha","32027/anthony-mantha","F","2013","DY","67","0.7313","0.2388","1.0597","36","13","11","49","11","5","7","16","3","3","0","14.40","22.92","15.48","50","71","89","1.3284","75.38","72.31","109","90","54.77","3.45","116","110","21.20","2.9995","1994-09-16","19.00","19.29","8","VDO","-","L","2013","DET (2013) - #20","DET","DET","http://pick224.com/images/Q-2013/32027_anthony-mantha2013.png"
"QMJHL","William Carrier","32380/william-carrier","F","2013","DY","34","0.7647","0.2059","1.0294","12","14","4","26","4","3","3","7","0","2","0","11.11","19.05","11.68","16","35","42","1.2353","78.79","48.48","69","79","46.62","14.52","26","55","23.13","2.6708","1994-12-20","18.74","19.03","28","CAP","-","L","2013","STL (2013) - #57","STL","VGK","http://pick224.com/images/Q-2013/32380_william-carrier2013.png"
