"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SH%","PP SH%","SH%","TG","TP1","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"WHL","Leon Draisaitl","34290/leon-draisaitl","F","2014","DY","64","0.8281","0.4844","1.3438","25","28","9","53","12","19","9","31","1","1","1","0.00","0.00","0.00","38","86","105","1.6406","63.10","44.05","72","61","54.14","13.70","74","109","17.14","4.7047","1995-10-27","18.88","19.18","29","PA","-","L","2014","EDM (2014) - #3","EDM","EDM",""
"WHL","Nic Petan","33079/nic-petan","F","2013","DY","71","0.8592","0.4225","1.3099","27","34","19","61","18","12","8","30","1","1","0","0.00","0.00","0.00","46","93","120","1.6901","67.03","49.45","117","48","70.91","9.77","118","75","18.02","4.3615","1995-03-22","18.48","18.78","19","POR","-","L","2013","WPG (2013) - #43","WPG","TOR",""
"WHL","Evander Kane","25736/evander-kane","F","2009","DY","61","0.6721","0.5410","1.2459","24","17","13","41","23","10","7","33","1","1","0","0.00","0.00","0.00","48","76","96","1.5738","55.41","63.51","76","26","74.51","11.62","100","59","15.43","4.8445","1991-08-02","18.12","18.41","9","","-","L","2009","WPG (2009) - #4","WPG","SJS",""
"WHL","Sam Reinhart","34328/sam-reinhart","F","2014","DY","60","0.7000","0.4333","1.1667","22","20","21","42","12","14","14","26","2","0","0","0.00","0.00","0.00","36","70","105","1.7500","61.76","50.00","73","46","61.34","16.14","66","80","18.10","3.8671","1995-11-06","18.86","19.15","23","KTN","-","R","2014","BUF (2014) - #2","BUF","BUF",""
"WHL","Scott Glennie","24739/scott-glennie","F","2009","DY","55","0.7091","0.2909","1.0727","17","22","7","39","9","7","4","16","2","2","0","0.00","0.00","0.00","28","59","70","1.2727","70.91","47.27","57","36","61.29","12.66","89","94","15.22","4.2287","1991-02-22","18.56","18.86","15","","-","R","2009","DAL (2009) - #8","DAL","-",""
"WHL","Jordan Weal","27073/jordan-weal","F","2010","DY","72","0.5694","0.5000","1.0694","20","21","12","41","15","21","13","36","0","0","0","0.00","0.00","0.00","35","77","102","1.4167","53.25","45.45","69","60","53.49","13.78","81","123","15.50","4.1405","1992-04-15","18.42","18.71","19","","-","R","2010","LAK (2010) - #70","LAK","MTL",""
"WHL","Hunter Shinkaruk","32140/hunter-shinkaruk","F","2013","DY","64","0.6094","0.3906","1.0469","23","16","8","39","14","11","11","25","0","3","0","0.00","0.00","0.00","37","67","86","1.3438","60.94","57.81","63","71","47.01","- 1.85","86","90","17.27","3.6362","1994-10-13","18.92","19.22","9","MH","-","L","2013","VAN (2013) - #24","VAN","-",""
"WHL","Brayden Point","35086/brayden-point","F","2014","DY","72","0.6250","0.4028","1.0417","18","27","8","45","17","12","8","29","1","0","0","0.00","0.00","0.00","36","75","91","1.2639","60.81","47.30","67","89","42.95","6.64","61","107","17.93","3.4861","1996-03-13","18.51","18.80","19","MJ","-","R","2014","TBL (2014) - #79","TBL","TBL",""
"WHL","Ryan Nugent Hopkins","29158/ryan-nugent-hopkins","F","2011","DY","69","0.4783","0.5217","1.0000","20","13","14","33","11","25","23","36","0","0","0","0.00","0.00","0.00","31","69","106","1.5362","47.83","44.93","66","33","66.67","4.24","108","65","14.99","4.0020","1993-04-12","18.43","18.72","9","","-","L","2011","EDM (2011) - #1","EDM","EDM",""
"WHL","Sven Bartschi","28052/sven-bartschi","F","2011","DY","66","0.7273","0.2576","0.9848","23","25","15","48","11","6","5","17","0","0","0","0.00","0.00","0.00","34","65","85","1.2879","73.85","52.31","75","49","60.48","- 2.08","127","76","15.42","3.8317","1992-10-05","18.94","19.24","27","","-","L","2011","CGY (2011) - #13","CGY","VAN",""
"WHL","Brayden Schenn","25833/brayden-schenn","F","2009","DY","70","0.5429","0.3286","0.9571","19","19","10","38","10","13","11","23","3","3","0","0.00","0.00","0.00","32","67","88","1.2571","62.30","47.54","66","50","56.90","4.41","116","105","15.27","3.7603","1991-08-22","18.06","18.36","10","","-","L","2009","LAK (2009) - #5","LAK","STL",""
